id_usuario,genero_usuario,edad_usuario,fecha_alta,hora_alta
605454,MALE,26,22-09-20,3:27:00 AM
605453,MALE,46,30-11-19,3:22:00 PM
605450,OTHER,26,30-11-19,3:20:00 PM
605445,OTHER,19,06-10-20,12:13:00 PM
605443,MALE,52,30-11-19,3:17:00 PM
605440,FEMALE,48,30-11-19,3:15:00 PM
605434,MALE,31,30-11-19,3:11:00 PM
605433,MALE,20,30-11-19,3:11:00 PM
605429,MALE,55,30-11-19,3:08:00 PM
605428,OTHER,19,30-11-19,3:07:00 PM
605427,MALE,26,30-11-19,3:07:00 PM
605424,MALE,61,30-11-19,3:05:00 PM
605421,MALE,37,30-11-19,3:02:00 PM
605413,OTHER,22,30-11-19,2:59:00 PM
605409,FEMALE,19,30-11-19,2:57:00 PM
605404,MALE,52,30-11-19,2:53:00 PM
605403,MALE,24,30-11-19,2:53:00 PM
605398,MALE,29,30-11-19,2:48:00 PM
605394,FEMALE,32,30-11-19,2:46:00 PM
605389,FEMALE,40,30-11-19,2:41:00 PM
605383,MALE,30,30-11-19,2:36:00 PM
605382,FEMALE,22,30-11-19,2:36:00 PM
605376,FEMALE,29,30-11-19,2:34:00 PM
605373,FEMALE,43,30-11-19,2:33:00 PM
605372,FEMALE,27,30-11-19,2:33:00 PM
605370,MALE,26,30-11-19,2:32:00 PM
605366,MALE,41,30-11-19,2:30:00 PM
605364,FEMALE,24,30-11-19,2:28:00 PM
605361,MALE,26,30-11-19,2:27:00 PM
605354,FEMALE,22,30-11-19,2:22:00 PM
605340,FEMALE,35,30-11-19,2:13:00 PM
605334,OTHER,33,30-11-19,2:08:00 PM
605332,MALE,20,30-11-19,2:06:00 PM
605325,MALE,55,30-11-19,2:00:00 PM
605324,OTHER,48,30-11-19,1:58:00 PM
605322,FEMALE,38,30-11-19,1:57:00 PM
605318,MALE,27,30-11-19,1:55:00 PM
605307,FEMALE,46,30-11-19,1:45:00 PM
605304,FEMALE,36,30-11-19,1:41:00 PM
605300,MALE,36,30-11-19,1:38:00 PM
605298,OTHER,69,30-11-19,1:37:00 PM
605295,OTHER,37,30-11-19,1:36:00 PM
605291,MALE,43,30-11-19,1:34:00 PM
605287,MALE,31,30-11-19,1:32:00 PM
605284,MALE,66,30-11-19,1:30:00 PM
605278,FEMALE,29,30-11-19,1:28:00 PM
605273,FEMALE,31,30-11-19,1:26:00 PM
605272,OTHER,20,30-11-19,1:26:00 PM
605265,FEMALE,26,30-11-19,1:24:00 PM
605264,FEMALE,17,30-11-19,1:24:00 PM
605261,FEMALE,24,30-11-19,1:21:00 PM
605260,MALE,28,30-11-19,1:21:00 PM
605256,MALE,20,30-11-19,1:17:00 PM
605245,FEMALE,72,30-11-19,1:10:00 PM
605243,OTHER,22,30-11-19,1:09:00 PM
605242,MALE,36,30-11-19,1:09:00 PM
605240,MALE,30,30-11-19,1:06:00 PM
605237,FEMALE,35,30-11-19,1:04:00 PM
605230,FEMALE,44,30-11-19,1:01:00 PM
605229,MALE,53,30-11-19,12:58:00 PM
605228,MALE,21,06-10-20,3:11:00 PM
605222,MALE,52,30-11-19,12:55:00 PM
605216,OTHER,20,30-11-19,12:50:00 PM
605214,MALE,25,30-11-19,12:49:00 PM
605211,MALE,20,30-11-19,12:48:00 PM
605209,MALE,32,30-11-19,12:46:00 PM
605203,MALE,30,30-11-19,12:43:00 PM
605201,OTHER,34,30-11-19,12:41:00 PM
605200,MALE,26,30-11-19,12:40:00 PM
605199,FEMALE,29,30-11-19,12:40:00 PM
605197,FEMALE,40,30-11-19,12:40:00 PM
605192,FEMALE,33,30-11-19,12:36:00 PM
605184,MALE,36,30-11-19,12:33:00 PM
605183,FEMALE,71,30-11-19,12:32:00 PM
605181,MALE,32,30-11-19,12:29:00 PM
605179,FEMALE,29,30-11-19,12:28:00 PM
605177,OTHER,22,30-11-19,12:27:00 PM
605176,FEMALE,40,30-11-19,12:26:00 PM
605173,FEMALE,39,30-11-19,12:25:00 PM
605171,MALE,50,30-11-19,12:22:00 PM
605167,MALE,34,30-11-19,12:20:00 PM
605166,MALE,36,30-11-19,12:18:00 PM
605161,MALE,34,30-11-19,12:13:00 PM
605158,OTHER,27,21-09-20,5:40:00 PM
605157,MALE,37,30-11-19,12:10:00 PM
605155,MALE,50,06-10-20,7:25:00 PM
605152,MALE,22,30-11-19,12:08:00 PM
605151,FEMALE,24,30-11-19,12:05:00 PM
605142,MALE,21,30-11-19,11:59:00 AM
605141,MALE,38,30-11-19,11:59:00 AM
605137,MALE,33,21-09-20,5:39:00 PM
605135,FEMALE,49,30-11-19,11:54:00 AM
605131,FEMALE,52,30-11-19,11:52:00 AM
605128,MALE,33,30-11-19,11:50:00 AM
605122,FEMALE,32,30-11-19,11:46:00 AM
605117,FEMALE,30,30-11-19,11:42:00 AM
605115,OTHER,34,14-09-20,9:42:00 PM
605112,MALE,33,30-11-19,11:36:00 AM
605090,MALE,36,30-11-19,11:23:00 AM
605086,MALE,34,30-11-19,11:21:00 AM
605082,MALE,26,30-11-19,11:19:00 AM
605078,MALE,23,30-11-19,11:17:00 AM
605075,FEMALE,35,30-11-19,11:15:00 AM
605074,FEMALE,42,30-11-19,11:15:00 AM
605070,FEMALE,46,30-11-19,11:13:00 AM
605062,OTHER,33,30-11-19,11:08:00 AM
605061,MALE,48,30-11-19,11:08:00 AM
605057,MALE,35,30-11-19,11:06:00 AM
605055,FEMALE,28,30-11-19,11:02:00 AM
605054,FEMALE,28,30-11-19,11:01:00 AM
605047,OTHER,28,30-11-19,10:56:00 AM
605046,OTHER,32,30-11-19,10:56:00 AM
605045,FEMALE,31,30-11-19,10:56:00 AM
605044,MALE,28,30-11-19,10:55:00 AM
605042,MALE,26,30-11-19,10:50:00 AM
605040,MALE,24,30-11-19,10:49:00 AM
605037,MALE,36,30-11-19,10:48:00 AM
605034,MALE,27,30-11-19,10:47:00 AM
605023,FEMALE,45,30-11-19,10:30:00 AM
605020,MALE,25,30-11-19,10:28:00 AM
605017,FEMALE,21,30-11-19,10:19:00 AM
605015,MALE,65,30-11-19,10:17:00 AM
605006,MALE,22,30-11-19,10:12:00 AM
605003,FEMALE,19,30-11-19,10:11:00 AM
604994,MALE,28,30-11-19,10:05:00 AM
604991,MALE,19,30-11-19,10:00:00 AM
604988,MALE,19,30-11-19,9:55:00 AM
604987,FEMALE,58,30-11-19,9:54:00 AM
604969,OTHER,61,30-11-19,9:32:00 AM
604963,MALE,33,30-11-19,9:27:00 AM
604958,MALE,47,30-11-19,9:17:00 AM
604957,MALE,31,30-11-19,9:17:00 AM
604951,OTHER,31,30-11-19,9:11:00 AM
604950,MALE,33,30-11-19,9:10:00 AM
604946,OTHER,40,30-11-19,9:01:00 AM
604942,FEMALE,60,30-11-19,8:56:00 AM
604924,MALE,36,30-11-19,8:35:00 AM
604922,FEMALE,25,30-11-19,8:34:00 AM
604918,MALE,40,30-11-19,8:32:00 AM
604910,OTHER,45,25-09-20,5:39:00 PM
604906,MALE,24,30-11-19,8:12:00 AM
604905,MALE,30,30-11-19,8:10:00 AM
604902,MALE,23,30-11-19,8:05:00 AM
604894,FEMALE,29,30-11-19,7:56:00 AM
604890,MALE,55,30-11-19,7:43:00 AM
604881,MALE,19,30-11-19,7:13:00 AM
604872,OTHER,46,30-11-19,6:29:00 AM
604870,MALE,29,30-11-19,5:01:00 AM
604868,MALE,21,30-11-19,4:39:00 AM
604867,FEMALE,26,30-11-19,4:36:00 AM
604865,MALE,23,30-11-19,4:25:00 AM
604864,MALE,28,30-11-19,4:19:00 AM
604860,MALE,21,30-11-19,3:56:00 AM
604859,MALE,43,30-11-19,3:54:00 AM
604847,MALE,30,30-11-19,3:04:00 AM
604843,MALE,27,30-11-19,2:54:00 AM
604840,MALE,21,30-11-19,2:18:00 AM
604837,FEMALE,22,30-11-19,2:07:00 AM
604833,OTHER,49,18-09-20,8:46:00 PM
604832,MALE,30,30-11-19,1:57:00 AM
604827,MALE,31,30-11-19,1:50:00 AM
604823,FEMALE,31,30-11-19,1:45:00 AM
604822,MALE,23,30-11-19,1:40:00 AM
604815,MALE,22,30-11-19,1:27:00 AM
604805,MALE,26,30-11-19,1:07:00 AM
604802,FEMALE,30,30-11-19,12:59:00 AM
604798,MALE,25,30-11-19,12:54:00 AM
604793,MALE,20,30-11-19,12:47:00 AM
604789,MALE,25,30-11-19,12:38:00 AM
604787,MALE,79,30-11-19,12:32:00 AM
604782,OTHER,22,30-11-19,12:23:00 AM
604780,FEMALE,22,30-11-19,12:21:00 AM
604776,FEMALE,46,30-11-19,12:15:00 AM
604773,FEMALE,50,25-09-20,12:11:00 AM
604770,FEMALE,39,30-11-19,12:01:00 AM
604768,MALE,20,29-11-19,11:59:00 PM
604766,FEMALE,19,29-11-19,11:58:00 PM
604761,OTHER,28,03-10-20,12:22:00 PM
604753,FEMALE,25,29-11-19,11:30:00 PM
604739,MALE,34,29-11-19,11:02:00 PM
604737,FEMALE,39,29-11-19,10:59:00 PM
604736,FEMALE,21,29-11-19,10:57:00 PM
604732,FEMALE,29,29-11-19,10:52:00 PM
604730,MALE,30,29-11-19,10:51:00 PM
604728,OTHER,23,29-11-19,10:47:00 PM
604723,FEMALE,27,29-11-19,10:36:00 PM
604721,FEMALE,69,29-11-19,10:34:00 PM
604719,FEMALE,37,04-10-20,7:32:00 AM
604714,MALE,19,29-11-19,10:15:00 PM
604713,MALE,29,29-11-19,10:14:00 PM
604711,OTHER,24,29-11-19,10:11:00 PM
604708,MALE,21,29-11-19,10:02:00 PM
604700,MALE,31,29-11-19,9:40:00 PM
604694,FEMALE,45,29-11-19,9:26:00 PM
604692,FEMALE,29,29-11-19,9:24:00 PM
604689,OTHER,28,21-09-20,6:29:00 PM
604688,FEMALE,28,29-11-19,9:16:00 PM
604685,FEMALE,43,29-11-19,9:12:00 PM
604684,FEMALE,32,29-11-19,9:10:00 PM
604670,MALE,49,29-11-19,8:55:00 PM
604664,MALE,41,29-11-19,8:48:00 PM
604662,FEMALE,29,29-11-19,8:42:00 PM
604661,MALE,54,29-11-19,8:42:00 PM
604645,OTHER,19,25-09-20,9:19:00 PM
604635,FEMALE,23,29-11-19,8:12:00 PM
604634,FEMALE,40,29-11-19,8:11:00 PM
604632,FEMALE,46,29-11-19,8:10:00 PM
604623,MALE,25,29-11-19,8:04:00 PM
604601,MALE,43,29-11-19,7:41:00 PM
604598,MALE,38,24-08-20,4:12:00 PM
604597,FEMALE,47,29-11-19,7:39:00 PM
604592,MALE,31,29-11-19,7:31:00 PM
604584,MALE,47,29-11-19,7:21:00 PM
604576,MALE,26,13-03-20,1:19:00 AM
604555,MALE,20,29-11-19,6:37:00 PM
604554,MALE,29,29-11-19,6:35:00 PM
604545,MALE,29,29-11-19,6:25:00 PM
604542,FEMALE,18,29-11-19,6:20:00 PM
604540,OTHER,43,29-11-19,6:15:00 PM
604538,MALE,20,29-11-19,6:14:00 PM
604533,FEMALE,26,29-11-19,6:04:00 PM
604532,FEMALE,35,29-11-19,6:01:00 PM
604527,OTHER,35,13-09-20,9:49:00 AM
604525,FEMALE,25,29-11-19,5:52:00 PM
604519,FEMALE,21,29-11-19,5:38:00 PM
604515,FEMALE,31,29-11-19,5:34:00 PM
604513,FEMALE,20,29-11-19,5:29:00 PM
604511,OTHER,27,29-11-19,5:26:00 PM
604506,OTHER,51,29-11-19,5:09:00 PM
604504,FEMALE,25,17-09-20,4:12:00 PM
604500,OTHER,59,29-11-19,5:00:00 PM
604499,FEMALE,23,29-11-19,4:59:00 PM
604498,MALE,75,29-11-19,4:59:00 PM
604492,MALE,24,29-11-19,4:52:00 PM
604489,FEMALE,34,29-11-19,4:42:00 PM
604487,FEMALE,19,29-11-19,4:38:00 PM
604483,MALE,46,29-11-19,4:35:00 PM
604482,MALE,25,21-09-20,3:35:00 PM
604478,FEMALE,42,29-11-19,4:25:00 PM
604469,MALE,26,29-11-19,3:56:00 PM
604464,OTHER,26,10-03-20,5:33:00 PM
604458,OTHER,19,29-11-19,3:43:00 PM
604453,FEMALE,24,29-11-19,3:33:00 PM
604452,MALE,31,29-11-19,3:29:00 PM
604434,MALE,35,29-11-19,2:53:00 PM
604427,MALE,23,29-11-19,2:43:00 PM
604426,MALE,20,29-11-19,2:42:00 PM
604425,MALE,28,12-03-20,11:18:00 PM
604423,FEMALE,40,29-11-19,2:39:00 PM
604422,OTHER,25,08-10-20,2:24:00 PM
604416,MALE,24,29-11-19,2:35:00 PM
604413,MALE,28,29-11-19,2:35:00 PM
604410,MALE,21,29-11-19,2:29:00 PM
604402,FEMALE,41,29-11-19,2:21:00 PM
604399,MALE,23,29-11-19,2:20:00 PM
604398,FEMALE,28,29-11-19,2:20:00 PM
604395,FEMALE,29,29-11-19,2:18:00 PM
604389,MALE,19,29-11-19,2:13:00 PM
604386,MALE,48,29-11-19,2:10:00 PM
604385,FEMALE,19,29-11-19,2:09:00 PM
604383,MALE,25,29-11-19,2:03:00 PM
604381,FEMALE,51,29-11-19,2:03:00 PM
604370,OTHER,34,29-11-19,1:54:00 PM
604369,MALE,57,29-11-19,1:54:00 PM
604367,FEMALE,36,29-11-19,1:50:00 PM
604365,MALE,31,29-11-19,1:48:00 PM
604363,OTHER,20,29-11-19,1:44:00 PM
604360,MALE,22,29-11-19,1:41:00 PM
604357,MALE,29,29-11-19,1:40:00 PM
604350,FEMALE,27,29-11-19,1:31:00 PM
604347,MALE,25,29-11-19,1:29:00 PM
604341,FEMALE,24,29-11-19,1:23:00 PM
604339,MALE,28,29-11-19,1:23:00 PM
604334,MALE,36,29-11-19,1:17:00 PM
604331,MALE,55,29-11-19,1:16:00 PM
604327,FEMALE,30,15-08-20,12:07:00 PM
604326,MALE,40,29-11-19,1:14:00 PM
